"key","value","expiration"
"key","owner","expiration"
"id","kode_produk","nama_produk","berat_produk","diameter_produk","lebar_produk","keterangan","status","no_gs","created_at","updated_at"
"4","CI24-111240","1.45 x 1035mm Z45 D570 NEXIUM® PASSIVATION MgZn","4587",NULL,NULL,NULL,"1","GSX24-100837","2024-12-03 14:56:19","2024-12-18 10:55:42"
"5","CI24-111241","1.45 x 1035mm Z45 D570 NEXIUM® PASSIVATION MgZn","4534",NULL,NULL,NULL,"1","GSX24-100837","2024-12-03 14:56:19","2024-12-18 10:55:42"
"6","CI24-111242","1.45 x 1035mm Z45 D570 NEXIUM® PASSIVATION MgZn","4565",NULL,NULL,NULL,"1","GSX24-100837","2024-12-03 14:56:19","2024-12-18 10:55:43"
"463","SL24-111030(1) A","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","3395",NULL,NULL,NULL,"0","GSX24-100838","2024-12-16 02:04:53","2024-12-16 02:04:53"
"464","SL24-111030(2) B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","3395",NULL,NULL,NULL,"0","GSX24-100838","2024-12-16 02:04:53","2024-12-16 02:04:53"
"465","SL24-111031(1) A","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","3495",NULL,NULL,NULL,"0","GSX24-100838","2024-12-16 02:04:53","2024-12-16 02:04:53"
"466","SL24-111031(2) B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","3495",NULL,NULL,NULL,"0","GSX24-100838","2024-12-16 02:04:53","2024-12-16 02:04:53"
"467","SL24-111032(1) A","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","3056",NULL,NULL,NULL,"0","GSX24-100838","2024-12-16 02:04:53","2024-12-16 02:04:53"
"468","SL24-111032(2) B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","3056",NULL,NULL,NULL,"0","GSX24-100838","2024-12-16 02:04:53","2024-12-16 02:04:53"
"469","SL24-111033(1) A","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4632",NULL,NULL,NULL,"0","GSX24-100838","2024-12-16 02:04:53","2024-12-16 02:04:53"
"470","SL24-111033(2) B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4632",NULL,NULL,NULL,"0","GSX24-100839","2024-12-16 02:04:53","2024-12-16 02:04:53"
